anno;cantone;CPA_2_1_descr;misura;statistica;valore
2016;Svizzera;"38 Servizi di trattamento e smaltimento dei rifiuti; servizi di recupero dei materiali";Tot_congiunturale_in_fr.;esportazioni;764295698.85
2016;Svizzera;"38 Servizi di trattamento e smaltimento dei rifiuti; servizi di recupero dei materiali";Tot_congiunturale_in_fr.;importazioni;259924140.99
2016;Svizzera;"38 Servizi di trattamento e smaltimento dei rifiuti; servizi di recupero dei materiali";Tot_complessivo_in_fr.;esportazioni;1147496561.86
2016;Svizzera;"38 Servizi di trattamento e smaltimento dei rifiuti; servizi di recupero dei materiali";Tot_complessivo_in_fr.;importazioni;2538680538.98
2016;Svizzera;39 Servizi di decontaminazione ed altri servizi di trattamento dei rifiuti;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;39 Servizi di decontaminazione ed altri servizi di trattamento dei rifiuti;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;39 Servizi di decontaminazione ed altri servizi di trattamento dei rifiuti;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;39 Servizi di decontaminazione ed altri servizi di trattamento dei rifiuti;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;41 Edifici ed opere di edilizia civile;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;41 Edifici ed opere di edilizia civile;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;41 Edifici ed opere di edilizia civile;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;41 Edifici ed opere di edilizia civile;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;42 Lavori di costruzione ed opere di genio civile;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;42 Lavori di costruzione ed opere di genio civile;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;42 Lavori di costruzione ed opere di genio civile;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;42 Lavori di costruzione ed opere di genio civile;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;43 Opere specializzate;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;43 Opere specializzate;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;43 Opere specializzate;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;43 Opere specializzate;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;45 Servizi di vendita all'ingrosso e al dettaglio e di riparazione di autoveicoli e motocicli;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;45 Servizi di vendita all'ingrosso e al dettaglio e di riparazione di autoveicoli e motocicli;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;45 Servizi di vendita all'ingrosso e al dettaglio e di riparazione di autoveicoli e motocicli;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;45 Servizi di vendita all'ingrosso e al dettaglio e di riparazione di autoveicoli e motocicli;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;46 Servizi di vendita all'ingrosso, escluso quello di autoveicoli e di motocicli;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;46 Servizi di vendita all'ingrosso, escluso quello di autoveicoli e di motocicli;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;46 Servizi di vendita all'ingrosso, escluso quello di autoveicoli e di motocicli;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;46 Servizi di vendita all'ingrosso, escluso quello di autoveicoli e di motocicli;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;47 Servizi di vendita al dettaglio, escluso quello di autoveicoli e di motocicli;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;47 Servizi di vendita al dettaglio, escluso quello di autoveicoli e di motocicli;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;47 Servizi di vendita al dettaglio, escluso quello di autoveicoli e di motocicli;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;47 Servizi di vendita al dettaglio, escluso quello di autoveicoli e di motocicli;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;49 Servizi di trasporto terrestre e di trasporto mediante condotte;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;49 Servizi di trasporto terrestre e di trasporto mediante condotte;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;49 Servizi di trasporto terrestre e di trasporto mediante condotte;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;49 Servizi di trasporto terrestre e di trasporto mediante condotte;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;50 Servizi di trasporto marittimo e per vie d'acqua;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;50 Servizi di trasporto marittimo e per vie d'acqua;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;50 Servizi di trasporto marittimo e per vie d'acqua;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;50 Servizi di trasporto marittimo e per vie d'acqua;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;51 Servizi di trasporto aereo;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;51 Servizi di trasporto aereo;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;51 Servizi di trasporto aereo;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;51 Servizi di trasporto aereo;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;52 Servizi di magazzinaggio e di supporto per i trasporti;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;52 Servizi di magazzinaggio e di supporto per i trasporti;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;52 Servizi di magazzinaggio e di supporto per i trasporti;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;52 Servizi di magazzinaggio e di supporto per i trasporti;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;53 Servizi postali e di corriere;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;53 Servizi postali e di corriere;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;53 Servizi postali e di corriere;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;53 Servizi postali e di corriere;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;55 Servizi di alloggio;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;55 Servizi di alloggio;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;55 Servizi di alloggio;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;55 Servizi di alloggio;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;56 Servizi di ristorazione e di vendita di bevande;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;56 Servizi di ristorazione e di vendita di bevande;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;56 Servizi di ristorazione e di vendita di bevande;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;56 Servizi di ristorazione e di vendita di bevande;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;58 Servizi di editoria;Tot_congiunturale_in_fr.;esportazioni;484667177.17
2016;Svizzera;58 Servizi di editoria;Tot_congiunturale_in_fr.;importazioni;1644816473.15
2016;Svizzera;58 Servizi di editoria;Tot_complessivo_in_fr.;esportazioni;484667177.17
2016;Svizzera;58 Servizi di editoria;Tot_complessivo_in_fr.;importazioni;1644816473.15
2016;Svizzera;"59 Servizi di produzione di pellicole cinematografiche, di video e di programmi televisivi; edizione di registrazioni sonore e edizioni musicali";Tot_congiunturale_in_fr.;esportazioni;75742389.13
2016;Svizzera;"59 Servizi di produzione di pellicole cinematografiche, di video e di programmi televisivi; edizione di registrazioni sonore e edizioni musicali";Tot_congiunturale_in_fr.;importazioni;197848964.87
2016;Svizzera;"59 Servizi di produzione di pellicole cinematografiche, di video e di programmi televisivi; edizione di registrazioni sonore e edizioni musicali";Tot_complessivo_in_fr.;esportazioni;75742389.13
2016;Svizzera;"59 Servizi di produzione di pellicole cinematografiche, di video e di programmi televisivi; edizione di registrazioni sonore e edizioni musicali";Tot_complessivo_in_fr.;importazioni;197848964.87
2016;Svizzera;60 Servizi di programmazione e di emissione radiofonica e televisiva;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;60 Servizi di programmazione e di emissione radiofonica e televisiva;Tot_congiunturale_in_fr.;importazioni;0
